,index,Month,Feel,Real,Humidity,Rain,Cloud,Air_quality,City
1888,4,may,mild,mild,nice,rainy,overcast,okay,tokyo
1889,5,jun,warm,warm,nice,rainy,cloudy,clean,tokyo
1890,6,jul,hot,very warm,sweaty,rainy,cloudy,clean,tokyo
1891,7,aug,hot,hot,sweaty,rainy,cloudy,clean,tokyo
1892,8,sep,warm,warm,nice,rainy,cloudy,clean,tokyo
1893,9,oct,mild,mild,nice,rainy,cloudy,clean,tokyo
1894,10,nov,cool,cool,nice,rainy,cloudy,clean,tokyo
1895,11,dec,cool,cool,nice,rainy,pockets,clean,tokyo
1896,0,jan,cool,cool,nice,rainy,pockets,clean,san-diego
1897,1,feb,cool,cool,damp,dry,pockets,clean,san-diego
1898,2,mar,cool,cool,nice,dry,pockets,clean,san-diego
1899,3,apr,mild,cool,nice,dry,cloudy,clean,san-diego
1900,4,may,mild,cool,nice,dry,cloudy,clean,san-diego
1901,5,jun,mild,mild,nice,dry,cloudy,clean,san-diego
1902,6,jul,mild,mild,nice,dry,cloudy,clean,san-diego
1903,7,aug,warm,warm,nice,dry,pockets,clean,san-diego
1904,8,sep,mild,mild,nice,dry,pockets,clean,san-diego
1905,9,oct,mild,mild,nice,dry,pockets,clean,san-diego
1906,10,nov,mild,mild,nice,dry,cloudy,clean,san-diego
1907,11,dec,cool,cool,damp,rainy,cloudy,okay,san-diego
1908,0,jan,hot,very warm,nice,dry,cloudy,bad,phnom-penh
1909,1,feb,hot,hot,nice,dry,pockets,clean,phnom-penh
1910,2,mar,scorching,hot,nice,dry,pockets,clean,phnom-penh
1911,3,apr,scorching,hot,sweaty,rainy,cloudy,okay,phnom-penh
1912,4,may,scorching,hot,sweaty,rainy,cloudy,okay,phnom-penh
1913,5,jun,scorching,hot,sweaty,rainy,cloudy,clean,phnom-penh
1914,6,jul,scorching,hot,sweaty,rainy,cloudy,clean,phnom-penh
1915,7,aug,scorching,hot,sweaty,rainy,cloudy,clean,phnom-penh
1916,8,sep,hot,very warm,sweaty,rainy,overcast,clean,phnom-penh
1917,9,oct,hot,very warm,sweaty,rainy,cloudy,clean,phnom-penh
1918,10,nov,hot,very warm,sweaty,rainy,cloudy,bad,phnom-penh
1919,11,dec,hot,very warm,sweaty,dry,cloudy,bad,phnom-penh
1920,0,jan,warm,warm,nice,dry,cloudy,avoid sun,galapagos-islands
1921,1,feb,hot,warm,sweaty,rainy,cloudy,avoid sun,galapagos-islands
1922,2,mar,hot,warm,sweaty,rainy,cloudy,avoid sun,galapagos-islands
1923,3,apr,warm,warm,nice,dry,cloudy,avoid sun,galapagos-islands
1924,4,may,warm,warm,nice,dry,pockets,avoid sun,galapagos-islands
1925,5,jun,warm,warm,nice,dry,cloudy,avoid sun,galapagos-islands
1926,6,jul,warm,warm,nice,dry,cloudy,avoid sun,galapagos-islands
1927,7,aug,mild,mild,nice,dry,cloudy,avoid sun,galapagos-islands
1928,8,sep,mild,mild,nice,dry,cloudy,avoid sun,galapagos-islands
1929,9,oct,mild,mild,nice,dry,cloudy,avoid sun,galapagos-islands
1930,10,nov,mild,mild,nice,dry,pockets,avoid sun,galapagos-islands
1931,11,dec,mild,mild,nice,dry,cloudy,avoid sun,galapagos-islands
1932,0,jan,warm,warm,nice,rainy,cloudy,clean,nairobi
1933,1,feb,warm,warm,nice,rainy,cloudy,clean,nairobi
1934,2,mar,warm,warm,nice,dry,cloudy,clean,nairobi
1935,3,apr,mild,mild,nice,rainy,cloudy,clean,nairobi
1936,4,may,mild,mild,nice,rainy,cloudy,clean,nairobi
1937,5,jun,mild,mild,nice,dry,cloudy,clean,nairobi
1938,6,jul,mild,mild,nice,dry,cloudy,clean,nairobi
1939,7,aug,mild,mild,nice,dry,cloudy,clean,nairobi
1940,8,sep,mild,mild,nice,dry,cloudy,clean,nairobi
1941,9,oct,warm,warm,nice,dry,cloudy,clean,nairobi
1942,10,nov,warm,warm,nice,rainy,cloudy,clean,nairobi
1943,11,dec,mild,mild,nice,rainy,cloudy,clean,nairobi
1944,0,jan,hot,very warm,sweaty,rainy,cloudy,okay,palawan
1945,1,feb,hot,very warm,sweaty,rainy,cloudy,okay,palawan
1946,2,mar,hot,very warm,sweaty,rainy,cloudy,bad,palawan
1947,3,apr,hot,very warm,sweaty,rainy,cloudy,okay,palawan
1948,4,may,scorching,hot,sweaty,rainy,cloudy,clean,palawan
1949,5,jun,scorching,hot,sweaty,rainy,overcast,clean,palawan
1950,6,jul,scorching,hot,sweaty,rainy,overcast,clean,palawan
1951,7,aug,hot,very warm,sweaty,rainy,cloudy,clean,palawan
1952,8,sep,hot,very warm,sweaty,rainy,cloudy,okay,palawan
1953,9,oct,hot,very warm,sweaty,rainy,overcast,okay,palawan
1954,10,nov,hot,very warm,sweaty,rainy,cloudy,okay,palawan
1955,11,dec,hot,very warm,sweaty,rainy,cloudy,okay,palawan
1956,0,jan,mild,mild,nice,dry,pockets,clean,orlando
1957,1,feb,warm,warm,nice,rainy,pockets,okay,orlando
1958,2,mar,warm,warm,nice,dry,pockets,okay,orlando
1959,3,apr,warm,warm,sweaty,rainy,pockets,okay,orlando
1960,4,may,hot,very warm,nice,rainy,pockets,clean,orlando
1961,5,jun,hot,very warm,sweaty,rainy,cloudy,clean,orlando
1962,6,jul,scorching,hot,sweaty,rainy,cloudy,okay,orlando
1963,7,aug,scorching,hot,sweaty,rainy,cloudy,okay,orlando
1964,8,sep,hot,very warm,sweaty,rainy,cloudy,clean,orlando
1965,9,oct,hot,very warm,sweaty,rainy,pockets,clean,orlando
1966,10,nov,mild,mild,nice,rainy,pockets,clean,orlando
1967,11,dec,warm,warm,nice,dry,pockets,clean,orlando
1968,0,jan,warm,warm,nice,dry,pockets,avoid sun,puerto-vallarta
1969,1,feb,warm,warm,nice,dry,pockets,avoid sun,puerto-vallarta
1970,2,mar,warm,warm,nice,dry,pockets,avoid sun,puerto-vallarta
1971,3,apr,warm,very warm,nice,dry,pockets,avoid sun,puerto-vallarta
1972,4,may,hot,very warm,nice,dry,pockets,avoid sun,puerto-vallarta
1973,5,jun,hot,very warm,sweaty,rainy,cloudy,avoid sun,puerto-vallarta
1974,6,jul,hot,very warm,sweaty,rainy,cloudy,avoid sun,puerto-vallarta
1975,7,aug,hot,very warm,sweaty,rainy,cloudy,avoid sun,puerto-vallarta
1976,8,sep,hot,very warm,sweaty,rainy,cloudy,avoid sun,puerto-vallarta
1977,9,oct,hot,very warm,sweaty,rainy,cloudy,avoid sun,puerto-vallarta
1978,10,nov,hot,very warm,nice,dry,pockets,avoid sun,puerto-vallarta
1979,11,dec,warm,very warm,nice,dry,pockets,avoid sun,puerto-vallarta
1980,0,jan,cold,very cold,damp,rainy,cloudy,bad,nis
1981,1,feb,cool,cool,damp,dry,cloudy,bad,nis
1982,2,mar,cold,cold,nice,rainy,cloudy,okay,nis
1983,3,apr,cool,cool,nice,rainy,cloudy,okay,nis
1984,4,may,mild,mild,nice,dry,cloudy,okay,nis
1985,5,jun,warm,warm,nice,dry,pockets,okay,nis
1986,6,jul,hot,very warm,nice,rainy,pockets,okay,nis
1987,7,aug,hot,very warm,nice,dry,pockets,okay,nis
1988,8,sep,mild,mild,nice,dry,pockets,okay,nis
1989,9,oct,cool,cool,damp,rainy,pockets,okay,nis
1990,10,nov,cool,cool,damp,dry,cloudy,okay,nis
1991,11,dec,cold,very cold,damp,rainy,cloudy,bad,nis
1992,0,jan,freezing,freezing,damp,rainy,overcast,okay,lodz
1993,1,feb,freezing,freezing,damp,dry,cloudy,bad,lodz
1994,2,mar,cold,very cold,damp,dry,cloudy,okay,lodz
1995,3,apr,cold,cold,damp,rainy,cloudy,okay,lodz
1996,4,may,cool,cool,damp,rainy,cloudy,clean,lodz
1997,5,jun,mild,mild,nice,rainy,cloudy,clean,lodz
1998,6,jul,warm,warm,nice,rainy,cloudy,clean,lodz
1999,7,aug,mild,mild,nice,rainy,cloudy,clean,lodz
2000,8,sep,cool,cool,damp,dry,cloudy,okay,lodz
2001,9,oct,cool,cool,nice,dry,cloudy,okay,lodz
2002,10,nov,cold,cold,damp,rainy,cloudy,okay,lodz
2003,11,dec,freezing,freezing,damp,dry,cloudy,okay,lodz
2004,0,jan,hot,very warm,sweaty,rainy,overcast,avoid sun,siargao
2005,1,feb,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2006,2,mar,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2007,3,apr,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2008,4,may,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2009,5,jun,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2010,6,jul,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2011,7,aug,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2012,8,sep,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2013,9,oct,hot,very warm,sweaty,rainy,overcast,avoid sun,siargao
2014,10,nov,hot,very warm,sweaty,rainy,cloudy,avoid sun,siargao
2015,11,dec,hot,very warm,sweaty,rainy,overcast,seek shade,siargao
2016,0,jan,cold,very cold,damp,rainy,overcast,clean,frankfurt
2017,1,feb,cold,cold,damp,rainy,cloudy,okay,frankfurt
2018,2,mar,cold,cold,nice,dry,cloudy,clean,frankfurt
2019,3,apr,cool,cool,nice,dry,cloudy,okay,frankfurt
2020,4,may,cool,cool,damp,rainy,cloudy,clean,frankfurt
2021,5,jun,warm,warm,nice,rainy,cloudy,clean,frankfurt
2022,6,jul,mild,mild,nice,rainy,cloudy,clean,frankfurt
2023,7,aug,mild,mild,nice,rainy,cloudy,clean,frankfurt
2024,8,sep,mild,mild,nice,dry,cloudy,clean,frankfurt
2025,9,oct,cool,cool,damp,dry,cloudy,clean,frankfurt
2026,10,nov,cold,cold,damp,dry,cloudy,okay,frankfurt
2027,11,dec,cold,very cold,damp,rainy,overcast,clean,frankfurt
2028,0,jan,cold,very cold,damp,rainy,overcast,clean,dusseldorf
2029,1,feb,cold,cold,damp,rainy,cloudy,clean,dusseldorf
2030,2,mar,cold,cold,damp,rainy,cloudy,clean,dusseldorf
2031,3,apr,cool,cool,nice,dry,cloudy,clean,dusseldorf
2032,4,may,cool,cool,damp,rainy,cloudy,clean,dusseldorf
2033,5,jun,warm,warm,nice,rainy,cloudy,clean,dusseldorf
2034,6,jul,mild,mild,nice,rainy,cloudy,clean,dusseldorf
2035,7,aug,mild,mild,nice,rainy,cloudy,clean,dusseldorf
2036,8,sep,mild,mild,nice,dry,cloudy,clean,dusseldorf
2037,9,oct,cool,cool,damp,rainy,cloudy,clean,dusseldorf
2038,10,nov,cold,cold,damp,rainy,cloudy,clean,dusseldorf
2039,11,dec,cold,very cold,damp,rainy,overcast,clean,dusseldorf
2040,0,jan,cold,very cold,damp,rainy,cloudy,clean,lille
2041,1,feb,cold,cold,damp,dry,cloudy,okay,lille
2042,2,mar,cold,cold,damp,dry,cloudy,clean,lille
2043,3,apr,cold,cold,nice,dry,pockets,clean,lille
2044,4,may,cool,cool,damp,rainy,cloudy,okay,lille
2045,5,jun,mild,mild,nice,rainy,cloudy,clean,lille
2046,6,jul,mild,mild,nice,rainy,cloudy,clean,lille
2047,7,aug,mild,mild,nice,dry,cloudy,clean,lille
2048,8,sep,mild,mild,nice,dry,cloudy,clean,lille
2049,9,oct,cool,cool,damp,rainy,cloudy,clean,lille
2050,10,nov,cold,cool,damp,dry,cloudy,clean,lille
2051,11,dec,cold,cold,damp,rainy,cloudy,clean,lille
2052,0,jan,cool,cool,damp,dry,pockets,clean,new-orleans
2053,1,feb,cool,cool,damp,rainy,cloudy,clean,new-orleans
2054,2,mar,mild,mild,nice,rainy,cloudy,clean,new-orleans
2055,3,apr,warm,warm,nice,rainy,cloudy,clean,new-orleans
2056,4,may,warm,warm,nice,rainy,pockets,clean,new-orleans
2057,5,jun,hot,very warm,sweaty,rainy,pockets,clean,new-orleans
2058,6,jul,hot,hot,sweaty,rainy,pockets,clean,new-orleans
2059,7,aug,hot,hot,sweaty,rainy,pockets,clean,new-orleans
2060,8,sep,hot,very warm,sweaty,rainy,pockets,clean,new-orleans
2061,9,oct,hot,very warm,sweaty,dry,pockets,clean,new-orleans
2062,10,nov,mild,mild,nice,dry,pockets,clean,new-orleans
2063,11,dec,mild,mild,nice,rainy,cloudy,clean,new-orleans
2064,0,jan,cold,very cold,damp,rainy,cloudy,clean,aberdeen
2065,1,feb,cold,very cold,damp,rainy,cloudy,clean,aberdeen
2066,2,mar,cold,cold,damp,dry,cloudy,clean,aberdeen
2067,3,apr,cold,cold,nice,dry,cloudy,clean,aberdeen
2068,4,may,cold,cold,damp,rainy,cloudy,clean,aberdeen
2069,5,jun,cool,cool,damp,dry,cloudy,clean,aberdeen
2070,6,jul,cool,cool,damp,rainy,cloudy,clean,aberdeen
2071,7,aug,cool,cool,damp,rainy,cloudy,clean,aberdeen
2072,8,sep,cool,cool,damp,rainy,cloudy,clean,aberdeen
2073,9,oct,cool,cool,damp,rainy,cloudy,clean,aberdeen
2074,10,nov,cold,cold,damp,rainy,cloudy,clean,aberdeen
2075,11,dec,cold,cold,damp,rainy,cloudy,clean,aberdeen
2076,0,jan,freezing,freezing,damp,dry,cloudy,clean,winnipeg
2077,1,feb,freezing,freezing,nice,dry,cloudy,clean,winnipeg
2078,2,mar,cold,very cold,nice,dry,pockets,clean,winnipeg
2079,3,apr,cold,cold,nice,dry,cloudy,clean,winnipeg
2080,4,may,cool,cool,nice,rainy,pockets,clean,winnipeg
2081,5,jun,warm,warm,nice,rainy,pockets,clean,winnipeg
2082,6,jul,warm,very warm,nice,dry,pockets,clean,winnipeg
2083,7,aug,mild,mild,nice,rainy,pockets,clean,winnipeg
2084,8,sep,mild,mild,nice,dry,pockets,clean,winnipeg
2085,9,oct,cool,cool,nice,rainy,cloudy,clean,winnipeg
2086,10,nov,freezing,freezing,damp,rainy,cloudy,clean,winnipeg
2087,11,dec,freezing,freezing,damp,dry,cloudy,clean,winnipeg
2088,0,jan,freezing,freezing,damp,dry,cloudy,clean,brampton
2089,1,feb,freezing,freezing,nice,dry,cloudy,clean,brampton
2090,2,mar,cold,very cold,nice,dry,pockets,clean,brampton
2091,3,apr,cool,cool,nice,rainy,cloudy,clean,brampton
2092,4,may,cool,cool,nice,dry,pockets,clean,brampton
2093,5,jun,warm,warm,nice,rainy,pockets,clean,brampton
2094,6,jul,warm,warm,nice,rainy,pockets,clean,brampton
2095,7,aug,hot,warm,sweaty,rainy,pockets,clean,brampton
2096,8,sep,mild,mild,nice,rainy,pockets,clean,brampton
2097,9,oct,cool,cool,nice,rainy,cloudy,clean,brampton
2098,10,nov,cold,very cold,damp,dry,cloudy,clean,brampton
2099,11,dec,freezing,very cold,damp,rainy,cloudy,clean,brampton
2100,0,jan,cold,very cold,damp,rainy,cloudy,clean,liverpool
2101,1,feb,cold,cold,damp,rainy,cloudy,clean,liverpool
2102,2,mar,cold,cold,damp,rainy,cloudy,clean,liverpool
2103,3,apr,cold,cool,nice,dry,cloudy,clean,liverpool
2104,4,may,cool,cool,damp,rainy,cloudy,clean,liverpool
2105,5,jun,cool,cool,nice,dry,cloudy,clean,liverpool
2106,6,jul,mild,mild,nice,rainy,cloudy,clean,liverpool
2107,7,aug,cool,cool,nice,rainy,cloudy,clean,liverpool
2108,8,sep,mild,mild,nice,rainy,cloudy,clean,liverpool
2109,9,oct,cool,cool,damp,rainy,cloudy,clean,liverpool
2110,10,nov,cold,cool,damp,rainy,cloudy,clean,liverpool
2111,11,dec,cold,cold,damp,rainy,cloudy,clean,liverpool
2112,0,jan,hot,very warm,sweaty,rainy,overcast,avoid sun,senggigi
2113,1,feb,hot,very warm,sweaty,rainy,overcast,avoid sun,senggigi
2114,2,mar,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2115,3,apr,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2116,4,may,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2117,5,jun,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2118,6,jul,hot,very warm,sweaty,dry,pockets,avoid sun,senggigi
2119,7,aug,hot,very warm,sweaty,dry,pockets,avoid sun,senggigi
2120,8,sep,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2121,9,oct,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2122,10,nov,hot,very warm,sweaty,rainy,overcast,avoid sun,senggigi
2123,11,dec,hot,very warm,sweaty,rainy,cloudy,avoid sun,senggigi
2124,0,jan,freezing,freezing,damp,rainy,overcast,okay,lublin
2125,1,feb,freezing,freezing,damp,rainy,cloudy,okay,lublin
2126,2,mar,cold,very cold,damp,dry,cloudy,okay,lublin
2127,3,apr,cold,cold,damp,rainy,cloudy,okay,lublin
2128,4,may,cool,cool,damp,rainy,cloudy,okay,lublin
2129,5,jun,mild,mild,nice,rainy,pockets,clean,lublin
2130,6,jul,warm,warm,sweaty,rainy,cloudy,okay,lublin
2131,7,aug,mild,mild,nice,rainy,cloudy,okay,lublin
2132,8,sep,cool,cool,damp,rainy,cloudy,okay,lublin
2133,9,oct,cool,cool,nice,dry,cloudy,okay,lublin
2134,10,nov,cold,cold,damp,dry,cloudy,okay,lublin
2135,11,dec,freezing,freezing,damp,dry,overcast,okay,lublin
2136,0,jan,freezing,freezing,damp,rainy,overcast,clean,tartu
2137,1,feb,freezing,freezing,damp,dry,cloudy,clean,tartu
2138,2,mar,freezing,very cold,damp,rainy,cloudy,clean,tartu
2139,3,apr,cold,cold,nice,dry,cloudy,clean,tartu
2140,4,may,cool,cool,damp,rainy,cloudy,clean,tartu
2141,5,jun,mild,mild,nice,dry,cloudy,clean,tartu
2142,6,jul,warm,warm,nice,dry,pockets,clean,tartu
2143,7,aug,cool,cool,nice,rainy,cloudy,clean,tartu
2144,8,sep,cool,cool,damp,dry,cloudy,clean,tartu
2145,9,oct,cold,cold,damp,dry,cloudy,clean,tartu
2146,10,nov,cold,very cold,damp,rainy,cloudy,clean,tartu
2147,11,dec,freezing,freezing,damp,dry,cloudy,clean,tartu
2148,0,jan,cool,cool,nice,rainy,cloudy,avoid sun,queenstown
2149,1,feb,mild,mild,nice,dry,cloudy,avoid sun,queenstown
2150,2,mar,cool,cool,nice,rainy,cloudy,seek shade,queenstown
2151,3,apr,cool,cool,nice,rainy,cloudy,seek shade,queenstown
2152,4,may,cool,cool,nice,rainy,cloudy,safe,queenstown
2153,5,jun,cool,cool,nice,rainy,cloudy,safe,queenstown
2154,6,jul,cold,cold,nice,rainy,cloudy,safe,queenstown
2155,7,aug,cold,cold,nice,rainy,cloudy,safe,queenstown
2156,8,sep,cool,cool,nice,rainy,cloudy,seek shade,queenstown
2157,9,oct,cool,cool,nice,rainy,cloudy,seek shade,queenstown
2158,10,nov,cool,cool,nice,rainy,cloudy,seek shade,queenstown
2159,11,dec,cool,cool,nice,rainy,cloudy,avoid sun,queenstown
2160,0,jan,scorching,very warm,sweaty,rainy,cloudy,avoid sun,asuncion
2161,1,feb,hot,very warm,sweaty,rainy,pockets,avoid sun,asuncion
2162,2,mar,hot,hot,sweaty,rainy,pockets,avoid sun,asuncion
2163,3,apr,hot,very warm,sweaty,rainy,pockets,avoid sun,asuncion
2164,4,may,warm,warm,nice,dry,pockets,seek shade,asuncion
2165,5,jun,mild,mild,nice,rainy,cloudy,seek shade,asuncion
2166,6,jul,warm,warm,nice,dry,pockets,seek shade,asuncion
2167,7,aug,warm,warm,nice,dry,pockets,avoid sun,asuncion
2168,8,sep,hot,very warm,nice,rainy,pockets,avoid sun,asuncion
2169,9,oct,warm,warm,sweaty,rainy,cloudy,avoid sun,asuncion
2170,10,nov,hot,very warm,sweaty,rainy,cloudy,avoid sun,asuncion
2171,11,dec,hot,hot,nice,dry,pockets,avoid sun,asuncion
2172,0,jan,warm,very warm,nice,dry,pockets,bad,hyderabad
2173,1,feb,warm,very warm,nice,dry,pockets,bad,hyderabad
2174,2,mar,hot,hot,nice,dry,pockets,bad,hyderabad
2175,3,apr,hot,hot,nice,dry,pockets,bad,hyderabad
2176,4,may,hot,hot,nice,rainy,cloudy,bad,hyderabad
2177,5,jun,hot,hot,sweaty,rainy,overcast,okay,hyderabad
2178,6,jul,hot,very warm,sweaty,rainy,overcast,okay,hyderabad
2179,7,aug,hot,very warm,sweaty,rainy,overcast,okay,hyderabad
2180,8,sep,hot,very warm,sweaty,rainy,overcast,okay,hyderabad
2181,9,oct,hot,very warm,sweaty,rainy,cloudy,bad,hyderabad
2182,10,nov,hot,warm,sweaty,rainy,cloudy,bad,hyderabad
2183,11,dec,warm,warm,nice,dry,pockets,bad,hyderabad
2184,0,jan,warm,warm,nice,dry,cloudy,clean,port-elizabeth
2185,1,feb,warm,warm,nice,dry,cloudy,clean,port-elizabeth
2186,2,mar,mild,mild,nice,dry,cloudy,clean,port-elizabeth
2187,3,apr,mild,mild,nice,dry,cloudy,clean,port-elizabeth
2188,4,may,mild,mild,nice,dry,pockets,clean,port-elizabeth
2189,5,jun,mild,mild,nice,dry,pockets,clean,port-elizabeth
2190,6,jul,cool,cool,nice,dry,pockets,clean,port-elizabeth
2191,7,aug,cool,cool,damp,rainy,pockets,clean,port-elizabeth
2192,8,sep,cool,mild,nice,dry,cloudy,clean,port-elizabeth
2193,9,oct,mild,mild,nice,dry,cloudy,clean,port-elizabeth
2194,10,nov,mild,mild,nice,rainy,cloudy,clean,port-elizabeth
2195,11,dec,mild,mild,nice,rainy,cloudy,clean,port-elizabeth
2196,0,jan,cool,cool,nice,rainy,cloudy,clean,paphos
2197,1,feb,cool,cool,nice,dry,pockets,okay,paphos
2198,2,mar,cool,cool,nice,dry,pockets,okay,paphos
2199,3,apr,mild,mild,nice,dry,pockets,okay,paphos
2200,4,may,warm,warm,nice,dry,pockets,clean,paphos
2201,5,jun,warm,warm,nice,dry,pockets,okay,paphos
2202,6,jul,hot,very warm,nice,dry,clear,okay,paphos
2203,7,aug,hot,hot,nice,dry,clear,okay,paphos
2204,8,sep,warm,very warm,nice,dry,pockets,okay,paphos
2205,9,oct,warm,warm,nice,dry,pockets,okay,paphos
2206,10,nov,mild,mild,nice,dry,cloudy,okay,paphos
2207,11,dec,cool,cool,nice,rainy,cloudy,okay,paphos
2208,0,jan,cold,very cold,damp,dry,cloudy,okay,lake-balaton
2209,1,feb,cold,cold,damp,dry,cloudy,okay,lake-balaton
2210,2,mar,cold,cold,nice,dry,cloudy,okay,lake-balaton
2211,3,apr,cool,cool,nice,rainy,cloudy,clean,lake-balaton
2212,4,may,cool,cool,nice,rainy,cloudy,clean,lake-balaton
2213,5,jun,warm,warm,nice,dry,pockets,clean,lake-balaton
2214,6,jul,warm,very warm,nice,rainy,cloudy,clean,lake-balaton
2215,7,aug,warm,warm,nice,dry,cloudy,clean,lake-balaton
2216,8,sep,mild,mild,nice,dry,pockets,clean,lake-balaton
2217,9,oct,cool,cool,nice,rainy,pockets,clean,lake-balaton
2218,10,nov,cold,cold,damp,rainy,cloudy,okay,lake-balaton
2219,11,dec,cold,very cold,damp,rainy,cloudy,okay,lake-balaton
2220,0,jan,cold,very cold,damp,rainy,cloudy,clean,newcastle-upon-tyne
2221,1,feb,cold,cold,damp,rainy,cloudy,clean,newcastle-upon-tyne
2222,2,mar,cold,cold,damp,dry,cloudy,clean,newcastle-upon-tyne
2223,3,apr,cold,cold,nice,dry,cloudy,clean,newcastle-upon-tyne
2224,4,may,cold,cool,damp,rainy,cloudy,clean,newcastle-upon-tyne
2225,5,jun,cool,cool,damp,dry,cloudy,clean,newcastle-upon-tyne
2226,6,jul,mild,mild,nice,rainy,cloudy,clean,newcastle-upon-tyne
2227,7,aug,cool,cool,nice,dry,cloudy,clean,newcastle-upon-tyne
2228,8,sep,cool,cool,nice,dry,cloudy,clean,newcastle-upon-tyne
2229,9,oct,cool,cool,damp,rainy,cloudy,clean,newcastle-upon-tyne
2230,10,nov,cold,cold,damp,dry,cloudy,clean,newcastle-upon-tyne
2231,11,dec,cold,very cold,damp,rainy,cloudy,clean,newcastle-upon-tyne
2232,0,jan,cold,very cold,damp,rainy,cloudy,clean,osijek
2233,1,feb,cold,cold,damp,dry,cloudy,clean,osijek
2234,2,mar,cold,cold,nice,dry,cloudy,clean,osijek
2235,3,apr,cool,cool,nice,rainy,cloudy,clean,osijek
2236,4,may,mild,mild,nice,rainy,cloudy,clean,osijek
2237,5,jun,warm,warm,nice,dry,pockets,clean,osijek
2238,6,jul,hot,very warm,nice,rainy,pockets,clean,osijek
2239,7,aug,warm,warm,nice,dry,pockets,clean,osijek
2240,8,sep,warm,warm,nice,rainy,pockets,clean,osijek
2241,9,oct,cool,cool,nice,rainy,cloudy,clean,osijek
2242,10,nov,cold,cold,damp,rainy,cloudy,clean,osijek
2243,11,dec,cold,very cold,damp,rainy,cloudy,clean,osijek
2244,0,jan,warm,warm,nice,rainy,cloudy,okay,pretoria
2245,1,feb,warm,warm,nice,rainy,cloudy,badokay,pretoria
2246,2,mar,warm,warm,nice,dry,pockets,badokay,pretoria
2247,3,apr,warm,warm,nice,dry,pockets,badokay,pretoria
2248,4,may,mild,mild,nice,dry,pockets,badokay,pretoria
2249,5,jun,mild,cool,nice,dry,pockets,badokay,pretoria
2250,6,jul,cool,cool,nice,dry,clear,bad,pretoria
2251,7,aug,mild,mild,nice,dry,clear,okay,pretoria
2252,8,sep,warm,warm,nice,dry,pockets,okay,pretoria
2253,9,oct,warm,warm,nice,dry,pockets,okay,pretoria
2254,10,nov,warm,very warm,nice,rainy,cloudy,okay,pretoria
2255,11,dec,warm,warm,nice,rainy,cloudy,okay,pretoria
2256,0,jan,freezing,freezing,nice,dry,cloudy,clean,calgary
2257,1,feb,freezing,freezing,nice,dry,cloudy,clean,calgary
2258,2,mar,cold,very cold,nice,dry,cloudy,clean,calgary
2259,3,apr,cold,cold,nice,dry,pockets,clean,calgary
2260,4,may,cool,cool,nice,rainy,cloudy,clean,calgary
2261,5,jun,mild,mild,nice,rainy,pockets,clean,calgary
2262,6,jul,warm,warm,nice,rainy,pockets,clean,calgary
2263,7,aug,mild,mild,nice,rainy,pockets,clean,calgary
2264,8,sep,cool,cool,nice,dry,pockets,clean,calgary
2265,9,oct,cold,cold,nice,dry,pockets,clean,calgary
2266,10,nov,cold,very cold,nice,dry,cloudy,clean,calgary
2267,11,dec,freezing,freezing,nice,dry,cloudy,clean,calgary
2268,0,jan,cool,cool,damp,rainy,cloudy,clean,cuenca
2269,1,feb,mild,cool,nice,rainy,cloudy,clean,cuenca
2270,2,mar,cool,cool,damp,rainy,overcast,clean,cuenca
2271,3,apr,cool,cool,nice,rainy,cloudy,clean,cuenca
2272,4,may,cool,cool,damp,rainy,cloudy,okay,cuenca
2273,5,jun,cool,cool,damp,rainy,cloudy,okay,cuenca
2274,6,jul,cool,cool,damp,rainy,cloudy,okay,cuenca
2275,7,aug,cool,cool,damp,rainy,cloudy,clean,cuenca
2276,8,sep,cool,cool,damp,rainy,cloudy,clean,cuenca
2277,9,oct,mild,cool,nice,rainy,cloudy,clean,cuenca
2278,10,nov,cool,cool,nice,rainy,cloudy,clean,cuenca
2279,11,dec,mild,mild,nice,rainy,cloudy,clean,cuenca
2280,0,jan,mild,cool,nice,dry,pockets,seek shade,marrakesh
2281,1,feb,mild,mild,nice,rainy,pockets,seek shade,marrakesh
2282,2,mar,mild,mild,nice,dry,cloudy,avoid sun,marrakesh
2283,3,apr,warm,warm,nice,dry,pockets,avoid sun,marrakesh
2284,4,may,warm,very warm,nice,dry,cloudy,avoid sun,marrakesh
2285,5,jun,hot,very warm,nice,dry,pockets,avoid sun,marrakesh
2286,6,jul,hot,hot,nice,dry,pockets,avoid sun,marrakesh
