,City,Total score,Quality of life score,Family score,Cost,Internet,Fun,Safety,Lack of crime,Lack of racism,Education level,Income level,English speaking,Walkability,Traffic safety,Happiness,Nightlife,Free WiFi in city,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,Hospitals,Country,Continent,Ciudad_Country,Latitude,Longitude
57,Las Vegas,3.87,Good,Good,Pricey,Super fast,Great,Okay,Good,Good,High,Very high,Great,Great,Okay,Good,Great,Great,Great,Great,Good,Bad,Great,Okay,Good,United States,North America,"Las Vegas, United States",36.1672559,-115.148516
58,Brasov,3.94,Good,Okay,Affordable,Fast,Okay,Good,Good,Bad,High,Very low,Good,Great,Okay,Okay,Okay,Good,Bad,Okay,Good,Okay,Bad,Okay,Okay,Romania,Europe,"Brasov, Romania",45.6523093,25.6102746
59,Los Angeles,3.81,Good,Good,Too expensive,Super fast,Great,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Great,Great,Great,Great,Good,Okay,Great,Good,Great,United States,North America,"Los Angeles, United States",34.0536909,-118.242766
60,Ubud,4.18,Good,Okay,Affordable,Fast,Okay,Great,Great,Good,Mediocre,Very low,Bad,Great,Bad,Okay,Okay,Okay,Okay,Good,Okay,Good,Good,Okay,Unknown,Indonesia,Asia,"Ubud, Indonesia",-8.5068977,115.2622931
61,Munich,3.82,Good,Good,Pricey,Fast,Great,Good,Great,Good,High,High,Great,Great,Okay,Good,Great,Okay,Great,Great,Great,Great,Great,Good,Bad,Germany,Europe,"Munich, Germany",48.1371079,11.5753822
62,Copenhagen,3.95,Great,Good,Way too expensive,Fast,Great,Good,Great,Great,High,Very high,Great,Great,Okay,Great,Great,Great,Good,Great,Great,Great,Great,Good,Unknown,Denmark,Europe,"Copenhagen, Denmark",55.6867243,12.5700724
63,Athens,3.92,Good,Good,Okay,Good,Great,Great,Great,Bad,High,Low,Okay,Great,Okay,Okay,Good,Good,Okay,Good,Good,Okay,Okay,Okay,Good,Greece,Europe,"Athens, Greece",37.9839412,23.7283052
64,Barcelona,3.83,Good,Good,Pricey,Fast,Great,Good,Great,Bad,High,Mediocre,Okay,Great,Okay,Good,Great,Okay,Okay,Okay,Good,Good,Great,Okay,Great,Spain,Europe,"Barcelona, Spain",41.3828939,2.1774322
65,Rio De Janeiro,3.91,Good,Okay,Affordable,Good,Great,Bad,Very bad,Good,Mediocre,Very low,Bad,Great,Bad,Good,Great,Bad,Good,Good,Okay,Okay,Great,Bad,Great,Brazil,Latin America,"Rio De Janeiro, Brazil",-22.9110137,-43.2093727
66,Lagos Algarve,3.84,Good,Good,Affordable,Fast,Bad,Great,Great,Okay,Mediocre,Low,Good,Great,Okay,Okay,Bad,Great,Great,Good,Good,Good,Great,Okay,Unknown,Portugal,Europe,"Lagos Algarve, Portugal",37.1489538,-8.702467283736809
67,New York City,3.98,Good,Good,Way too expensive,Fast,Great,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Great,Great,Okay,Great,Good,Good,Great,Good,Great,United States,North America,"New York City, United States",40.7127281,-74.0060152
68,Tallinn,3.88,Good,Good,Affordable,Fast,Okay,Good,Good,Great,High,Low,Good,Great,Okay,Okay,Good,Great,Okay,Great,Great,Great,Good,Okay,Good,Estonia,Europe,"Tallinn, Estonia",59.4372155,24.7453688
